"Variable","median_mda","iqr25","iqr75","Genus"
"Otu00034",0.437017661711217,0.398545803281547,0.505363967166826,"Erysipelotrichaceae"
"Otu00396",0.435581711796684,0.374860634508216,0.592648402883529,"Blautia"
"Otu00026",0.432511266933058,0.392599911340291,0.478448246696499,"Coprococcus"
"Otu00030",0.431860816993468,0.404222002584258,0.505405398762123,"Lachnospiraceae"
"Otu00047",0.427288347223282,0.385060033206308,0.476083381663783,"Lachnospiraceae"
"Otu00031",0.426460486456424,0.399146729333118,0.465276132551963,"Collinsella"
"Otu00121",0.424305243525062,0.383282718466216,0.474493767674224,"Blautia"
"Otu00147",0.421623440790369,0.380786288033807,0.466877700576024,"Streptococcus"
"Otu00035",0.418490126910193,0.376438049389569,0.474906019405835,"Akkermansia"
"Otu00654",0.417815610773755,0.387436145836027,0.469811176185657,"Lachnospiraceae"
"Otu00231",0.416145905875088,0.380097013693646,0.475439403709989,"Lachnospiraceae"
"Otu00029",0.415048380705115,0.379376447402496,0.464454981812365,"Phascolarctobacterium"
"Otu00056",0.413263575634423,0.36730669219626,0.467147417059256,"Ruminococcus"
"Otu00012",0.40912675306244,0.368545130934066,0.46721976468496,"Bifidobacterium"
"Otu00037",0.405013508707348,0.371205192462877,0.435686325255274,"Alistipes"
"Otu00045",0.40487421476585,0.372444263473914,0.445420939459132,"Alistipes"
"Otu00069",0.404796681993196,0.35874270562339,0.440477691828026,"Bacteroides"
"Otu00182",0.404074493846268,0.360949513108532,0.467898256920666,"Coprococcus"
